title,cntc_instt_nm,period,top_tags,genres
다다익선: 즐거운 협연,국립현대미술관,2022-09-15~2024-04-07,"다다익선, 백남준, 아카이브, 영상, 연주","매체 장르, 경험 장르"
디지털스토리 : 이야기가 필요해,국립현대미술관,2022-11-22~2025-06-30,"퍼즐, 연출, 장면, 장고, 마치","매체 장르, 경험 장르"
MMCA 예술놀이마당,국립현대미술관,2022-12-28~2024-05-31,"풍경, 자연, 놀이, 사진, 어린이","경험 장르, 매체 장르"
동녘에서 거닐다: 동산 박주환 컬렉션 특별전,국립현대미술관,2023-05-18~2024-02-12,"동산, 그림, 한국, 주환, 전통","시대/성격 장르, 기획 목적 장르"
국립현대미술관 다원예술 2023: 전자적 숲; 소진된 인간,국립현대미술관,2023-05-26~2024-02-25,"마음, 명상, 소진, 오후, 너희","시대/성격 장르, 매체 장르"
백 투 더 퓨처: 한국 현대미술의 동시대성 탐험기,국립현대미술관,2023-06-16~2024-09-08,"수집, 시기, 년대, 확인, 미술","기획 목적 장르, 시대/성격 장르"
김구림,국립현대미술관,2023-08-25~2024-02-12,"구림, 년대, 면모, 확인, 미술사","매체 장르, 시대/성격 장르"
국립현대미술관 소장품전 피카소 도예,국립현대미술관,2023-09-01~2024-02-25,"도예, 피카소, 화업, 로리스, 천재","매체 장르, 기획 목적 장르"
MMCA 청주프로젝트 2023 ?안성석: 모두의 안녕을 위해?,국립현대미술관,2023-09-01~2024-05-06,"미래, 도시, 가상, 게임, 랙션","매체 장르, 경험 장르"
MMCA 현대차 시리즈 2023: 정연두 - 백년 여행기,국립현대미술관,2023-09-06~2024-02-25,"멕시코, 백년, 이주, 여행기, 서사","매체 장르, 시대/성격 장르"
가장 진지한 고백: 장욱진 회고전,국립현대미술관,2023-09-14~2024-02-12,"장욱진, 그림, 고백, 발상, 저항","시대/성격 장르, 경험 장르"
"이신자, 실로 그리다",국립현대미술관,2023-09-22~2024-02-18,"섬유, 이신자, 씨실, 공예, 고스","매체 장르, 시대/성격 장르"
올해의 작가상 2023,국립현대미술관,2023-10-20~2024-03-31,"비엔날레, 제도, 뉴욕, 이강, 있다","매체 장르, 시대/성격 장르"
생의 찬미,국립현대미술관,2023-10-28~2024-03-03,"샌디에이고, 벽사, 찬미, 전통, 회화","시대/성격 장르, 매체 장르"
미술관 길목 프로젝트: 정세인,국립현대미술관,2023-10-31~2024-10-31,"길목, 프로젝트, 정세, 작업, 청주","매체 장르, 시대/성격 장르"
프로젝트 해시태그 2023,국립현대미술관,2023-11-03~2024-04-07,"해시태그, 프로젝트, 사업, 시각예술, 협업","시대/성격 장르, 기획 목적 장르"
국립현대미술관 청주 개방 수장고 : 전뢰진 조각·드로잉,국립현대미술관,2023-11-07~2024-05-26,"전뢰진, 조각, 조각가, 개방, 자료","매체 장르, 경험 장르"
MMCA 과천프로젝트 2023: 연결,국립현대미술관,2023-11-15~2024-10-20,"원형, 구역, 정원, 청각, 연결",매체 장르
한국의 기하학적 추상미술,국립현대미술관,2023-11-16~2024-05-19,"기하학, 추상, 미술, 한국, 년대","시대/성격 장르, 매체 장르"
기록과 경이: 한국현대사진,국립현대미술관,2023-11-18~2024-01-27,"사진, 사회, 경이, 기록, 도시화","매체 장르, 시대/성격 장르"
특별수장고 ?국립현대미술관 드로잉소장품?,국립현대미술관,2023-12-13~2024-10-10,"드로잉, 특별, 장고, 원석연, 소나무","매체 장르, 시대/성격 장르"
미술관을 말할 때 우리가 이야기하는 것들,국립현대미술관,2023-12-22~2024-04-06,"직원, 토리, 시라, 있다, 보존","매체 장르, 경험 장르"
보이는 수장고: MMCA 이건희컬렉션 해외 명작전,국립현대미술관,2024-01-30~2024-06-30,"수장, 이건희, 컬렉션, 미술품, 모두","기획 목적 장르, 시대/성격 장르"
다섯 발자국 숲,국립현대미술관,2024-03-22~2025-02-09,"발자국, 자연, 동물, 연결하다, 어린이","매체 장르, 경험 장르"
MMCA 사진 소장품전: 당신의 세상은 지금 몇 시?,국립현대미술관,2024-03-27~2024-08-04,"사진, 당신, 세상, 지금, 풍경","매체 장르, 시대/성격 장르"
가변하는 소장품,국립현대미술관,2024-03-29~2024-07-21,"가변, 크기, 어렵다, 조건, 기억","매체 장르, 경험 장르"
정영선: 이 땅에 숨 쉬는 모든 것을 위하여,국립현대미술관,2024-04-05~2024-09-22,"조경, 공원, 정영선, 마당, 생태","매체 장르, 경험 장르"
2024년 창동레지던시 출신작가 후속지원 프로젝트 ?연결과 해제?,국립현대미술관,2024-04-08~2024-04-21,"연결, 조작, 음악, 해제, 인숙","매체 장르, 경험 장르"
예측 (불)가능한 세계,국립현대미술관,2024-04-26~2024-08-25,"지능, 인공, 예측, 가능하다, 인간","시대/성격 장르, 기획 목적 장르"
한국 근현대 자수: 태양을 잡으려는 새들,국립현대미술관,2024-05-01~2024-08-04,"자수, 공예, 전통, 조선시대, 여성","시대/성격 장르, 매체 장르"
사물은 어떤 꿈을 꾸는가,국립현대미술관,2024-05-17~2024-09-18,"사물, 인간, 디자인, 이렇다, 사고",시대/성격 장르
MMCA 기증작품전: 1960-70년대 구상회화,국립현대미술관,2024-05-21~2024-09-22,"상회, 회화, 구상, 년대, 한국","매체 장르, 시대/성격 장르"
2024년 창동레지던시 상반기 입주작가전 ?노래하는 몸짓?,국립현대미술관,2024-05-24~2024-06-02,"주름, 스테르, 창동, 덥다, 몸짓","매체 장르, 시대/성격 장르"
자연과 인간: 로맨스부터 호러까지,국립현대미술관,2024-05-24~2024-08-24,"자연, 상영, 고양이, 야생, 인간","매체 장르, 시대/성격 장르"
MMCA 다원예술 2024 ? 우주 엘리베이터(가제),국립현대미술관,2024-05-25~2025-02-09,"우주, 엘리베이터, 박사, 퍼포먼스, 공학","시대/성격 장르, 매체 장르"
국립현대미술관 다원예술 2024: 우주 엘리베이터,국립현대미술관,2024-05-25~2025-03-30,"우주, 엘리베이터, 지구, 어려움, 공학","시대/성격 장르, 매체 장르"
미술관에 「書」: 한국 근현대 서예,국립현대미술관,2024-07-06~2024-10-21,"서예, 서예가, 글씨, 문자, 디자인","매체 장르, 시대/성격 장르"
보이는 수장고: 유영국,국립현대미술관,2024-07-12~2024-09-29,"유영국, 수장, 추상, 형태, 색채","시대/성격 장르, 경험 장르"
퍼포밍 집: 대안적 삶을 위한 건축,국립현대미술관,2024-07-18~2025-02-02,"주거, 사회, 주택, 건축가, 문화","매체 장르, 기획 목적 장르"
아나 바즈: 2024 서울국제실험영화페스티벌 인디비주얼,국립현대미술관,2024-07-19~2024-08-24,"영화, 바즈, 브라질, 실험영화, 인간","매체 장르, 시대/성격 장르"
연결하는 집: 대안적 삶을 위한 건축,국립현대미술관,2024-07-19~2025-02-02,"주거, 사회, 주택, 건축가, 문화","매체 장르, 기획 목적 장르"
막간 2024: 하룬 파로키?노동과 훈련,국립현대미술관,2024-08-01~2024-08-22,"로키, 하룬, 훈련, 서사, 영화","매체 장르, 시대/성격 장르"
2024 아시아 필름앤비디오 아트포럼,국립현대미술관,2024-08-30~2024-09-06,"포럼, 태국, 프로그램, 대만, 상영","경험 장르, 매체 장르"
접속하는 몸: 아시아 여성 미술가들,국립현대미술관,2024-09-03~2025-03-03,"신체, 아시아, 접속, 여성, 퍼포먼스","매체 장르, 시대/성격 장르"
MMCA 뉴미디어 소장품전-아더랜드,국립현대미술관,2024-09-10~2025-04-23,"아더, 랜드, 뉴미디어, 캠프, 아틸라","매체 장르, 경험 장르"
MMCA 소장품전: 작품의 이력서,국립현대미술관,2024-09-12~2024-10-13,"관리, 소장, 정부, 전환, 기관","기획 목적 장르, 경험 장르"
"대한민국예술원 개원 70년: 지금, 잇다",국립현대미술관,2024-09-12~2024-10-13,"예술원, 발전, 대한민국, 개원, 예술인","시대/성격 장르, 경험 장르"
MMCA 옥상 프로젝트 2024 ,국립현대미술관,2024-09-13~2024-10-12,"옥상, 여기, 미터, 공연, 프로젝트","매체 장르, 시대/성격 장르"
2024 아시아 필름앤비디오아트포럼,국립현대미술관,2024-10-11~2024-11-27,"아시아, 포럼, 정체, 국적, 상영","경험 장르, 매체 장르"
이름의 기술,국립현대미술관,2024-10-11~2025-02-23,"제목, 정보, 관리, 이름, 부수","시대/성격 장르, 기획 목적 장르"
순간이동,국립현대미술관,2024-10-18~2025-02-16,"영화, 인물, 순간이동, 증강현실, 캐나다","매체 장르, 시대/성격 장르"
올해의 작가상 2024,국립현대미술관,2024-10-25~2025-03-23,"조각, 양정욱, 윤지영, 제인, 신작","시대/성격 장르, 매체 장르"
이강소: 風來水面時 풍래수면시,국립현대미술관,2024-11-01~2025-04-13,"강소, 이미지, 비엔날레, 회화, 작업","매체 장르, 시대/성격 장르"
국립현대미술관 고양레지던시 ?2024년 오픈스튜디오 20: 대화의 끝은 언제나...?,국립현대미술관,2024-11-08~2024-11-10,"덥다, 공유, 대화, 예술가, 결과물","매체 장르, 시대/성격 장르"
프로젝트 해시태그 2024,국립현대미술관,2024-11-15~2025-04-27,"해시태그, 프로젝트, 게임, 소망, 사업","시대/성격 장르, 기획 목적 장르"
한국 현대 도자공예: 영원의 지금에서 늘 새로운,국립현대미술관,2024-11-21~2025-05-06,"공예, 전통, 영원, 환경, 예의","시대/성격 장르, 매체 장르"
창동레지던시 입주보고서 2024: 채집에 관하여,국립현대미술관,2024-11-22~2024-12-01,"채집, 창동, 덥다, 라트비아, 마리아","시대/성격 장르, 매체 장르"
수묵별미(水墨別美): 한 · 중 근현대 회화,국립현대미술관,2024-11-28~2025-02-16,"동아시아, 수묵, 채색화, 중국, 양국","시대/성격 장르, 기획 목적 장르"
무빙 이미지의 예술: 폴란드 애니메이션과 필름 아방가르드,국립현대미술관,2024-12-06~2025-01-11,"폴란드, 애니메이션, 영화, 아방가르드, 무빙","시대/성격 장르, 매체 장르"
창작의 순간 - 예술가의 작업실,국립현대미술관,2025-02-14~2025-05-24,"창작, 문학, 감독, 예술가, 영화","매체 장르, 시대/성격 장르"
MMCA 소장품 기획전 - 수채(水彩): 물을 그리다,국립현대미술관,2025-03-21~2025-09-07,"수채, 장르, 단독, 투명, 습작","매체 장르, 시대/성격 장르"
열린공간7 ?우리를 바꾸는 다섯 가지 대화?,국립현대미술관,2025-04-04~2025-07-13,"언어, 워크숍, 세상, 이해, 강좌","경험 장르, 매체 장르"
우리를 바꾸는 다섯 가지 대화,국립현대미술관,2025-04-04~2025-07-13,"직조, 있다, 대화, 이다, 소리","경험 장르, 매체 장르"
론 뮤익,국립현대미술관,2025-04-11~2025-07-13,"뮤익, 조각, 드블롱드, 극도, 멜버른","매체 장르, 시대/성격 장르"
초현실주의와 한국근대미술,국립현대미술관,2025-04-17~2025-07-06,"현실, 주의, 전위, 한국, 미술사","시대/성격 장르, 기획 목적 장르"
"젊은 모색 2025 : 지금, 여기",국립현대미술관,2025-04-24~2025-10-12,"신진, 젊다, 모색, 역량, 신인","시대/성격 장르, 경험 장르"
싱가포르 어린이비엔날레 협력전 ?내일 우리는?,국립현대미술관,2025-05-01~2025-12-31,"어린이, 싱가포르, 기쁨, 내일, 배려","경험 장르, 매체 장르"
내일 우리는,국립현대미술관,2025-05-01~2026-02-18,"어린이, 싱가포르, 기쁨, 내일, 배려","경험 장르, 매체 장르"
마음_봄,국립현대미술관,2025-05-02~2026-02-27,"마음, 아이, 공간, 어린이, 어른","매체 장르, 경험 장르"
이 땅에 숨 쉬는 모든 것을 위하여: 정영선과 협업자들,국립현대미술관,2025-05-09~2025-07-13,"정영선, 이탈리아, 한국, 메세지, 보전","매체 장르, 시대/성격 장르"
기울인 몸들: 서로의 취약함이 만날 때,국립현대미술관,2025-05-16~2025-07-20,"취약, 약하다, 편견, 서로, 디자인","매체 장르, 기획 목적 장르"
2025년 창동레지던시 상반기 입주작가전 ?공명의 숲?,국립현대미술관,2025-05-23~2025-06-01,"창동, 덥다, 샤트, 누차, 음식","매체 장르, 경험 장르"
MMCA 다원예술 : 숲,국립현대미술관,2025-05-23~2026-01-25,"빽빽하다, 이다, 인간, 탄소, 축제","시대/성격 장르, 매체 장르"
"MMCA 소장품 ?아더랜드 Ⅱ: 와엘 샤키, 아크람 자타리?",국립현대미술관,2025-06-03~2025-08-17,"샤키, 자타, 아크, 아더, 랜드","시대/성격 장르, 매체 장르"
무인공장,국립현대미술관,2025-06-05~2025-06-12,"회로, 젝션, 수수께끼, 무인, 존재","매체 장르, 기획 목적 장르"
?수묵별미: 한·중 근현대 회화? 중국 순회전,국립현대미술관,2025-06-11~2025-08-11,"수묵, 중국, 양국, 채색화, 국가","매체 장르, 시대/성격 장르"
2025 막간: 경계에 머무는 시선,국립현대미술관,2025-07-11~2025-09-13,"마르텔, 배경, 서사, 시선, 감각","시대/성격 장르, 매체 장르"
MMCA 다원예술: 하이너 괴벨스??겐코-안 03062?,국립현대미술관,2025-07-14~2025-08-10,"겐코, 루트, 소로, 월든, 음악가",시대/성격 장르
서울국제실험영화페스티벌-인디 비주얼,국립현대미술관,2025-07-23~2025-08-24,"버스, 영화, 로버트, 교차, 건축물","매체 장르, 시대/성격 장르"
로버트 비버스: 2025 서울국제실험영화페스티벌 인디비주얼,국립현대미술관,2025-07-25~2025-07-30,"버스, 영화, 로버트, 교차, 건축물","매체 장르, 시대/성격 장르"
MMCA×LG OLED 시리즈 2025?추수,국립현대미술관,2025-08-01~2026-02-01,"박스, 디지털, 기술, 생명, 가몬","매체 장르, 기획 목적 장르"
리가 스푼데 ?어떻게 될지는 아무도 몰라?,국립현대미술관,2025-08-11~2025-08-24,"캐릭터, 불확실, 아무, 가상, 주의자","매체 장르, 시대/성격 장르"
"광복 80주년 기념 ?향수(鄕愁), 고향을 그리다?",국립현대미술관,2025-08-14~2026-02-22,"고향, 노스탤지어, 향토, 문학, 희망이","시대/성격 장르, 매체 장르"
MMCA X LG OLED 시리즈,국립현대미술관,2025-08-19~2026-02-08,"박스, 가몬, 디지털, 기술, 생명","매체 장르, 기획 목적 장르"
MMCA X CMOA 청주프로젝트 2025 ?벙커: 어둠에서 빛으로?,국립현대미술관,2025-08-20~2025-11-16,"청주, 벙커, 시립, 재생, 다시","시대/성격 장르, 매체 장르"
김창열,국립현대미술관,2025-08-22~2025-12-21,"김창열, 물방울, 여정, 상흔, 뉴욕","시대/성격 장르, 매체 장르"
_1,국립현대미술관,2025-08-29~2026-02-01,"청취, 전통, 김영은, 미신, 임영주","시대/성격 장르, 기획 목적 장르"
"조우(遭遇), 모던아트협회 1957-1960",국립현대미술관,2025-10-02~2026-03-08,"협회, 모던아트, 모더니즘, 생활, 추상","시대/성격 장르, 경험 장르"
창동레지던시 입주보고서 2025: 다시- 장면,국립현대미술관,2025-11-14~2025-11-23,"창동, 덥다, 에스토니아, 흔적, 장면","경험 장르, 시대/성격 장르"
"이건희컬렉션 국외순회전 ?한국의 보물: 모으고, 아끼고, 나누다?",국립현대미술관,2025-11-15~2026-02-01,"한국, 세기, 금강산, 보물, 박수근","시대/성격 장르, 기획 목적 장르"
이중시선,국립현대미술관,2025-11-26~2026-01-10,"영화, 프로그램, 이중, 카메라, 서로","매체 장르, 시대/성격 장르"
신상호: 무한변주,국립현대미술관,2025-11-27~2026-03-29,"도예, 신상호, 전통, 건축, 시대","시대/성격 장르, 매체 장르"
"항상 옆에 있으니까 일본과 한국, 미술 80년",국립현대미술관,2025-12-06~2026-03-22,"양국, 정상화, 국교, 일본, 교류","시대/성격 장르, 경험 장르"
소멸의 시학: 삭는 미술에 대하여,국립현대미술관,2026-01-30~2026-05-03,"변하다, 불후, 분해, 발효, 명작",기타/미분류
?보이지 않는 것을 보다? 한국 영상예술 쇼케이스,국립현대미술관,2026-03-27~2026-03-29,"폴란드, 바르샤바, 쇼케이스, 위치, 협력","매체 장르, 시대/성격 장르"
